adc10,adc11,adc12,adc13,adc21,adc22,adc23,region
4048.0,2550.0,1283.0,830.0,3113.0,5860.0,11161.0,DIM
4099.0,2551.0,1235.0,814.0,3112.0,5949.0,11196.0,DIM
4190.0,2556.0,1300.0,907.0,3126.0,6031.0,11185.0,DIM
4193.0,2555.0,1217.0,863.0,3071.0,6061.0,11175.0,DIM
4202.0,2562.0,1286.0,912.0,3247.0,6075.0,10897.0,DIM
4239.0,2564.0,1203.0,863.0,3236.0,6094.0,10927.0,DIM
4320.0,2570.0,1294.0,896.0,2998.0,6155.0,10916.0,DIM
4313.0,2568.0,1221.0,861.0,3053.0,6175.0,10951.0,DIM
4083.0,2566.0,1400.0,941.0,3256.0,5811.0,9438.0,DIM
4120.0,2563.0,1356.0,865.0,3273.0,5872.0,9437.0,DIM
4226.0,2568.0,1295.0,921.0,3110.0,5956.0,9417.0,DIM
4245.0,2561.0,1250.0,855.0,3126.0,6013.0,9443.0,DIM
4170.0,2563.0,1362.0,897.0,3478.0,6026.0,11135.0,DIM
4189.0,2558.0,1287.0,852.0,3254.0,6062.0,11093.0,DIM
4272.0,2567.0,1274.0,892.0,3108.0,6120.0,10969.0,DIM
4262.0,2561.0,1221.0,862.0,3129.0,6132.0,10987.0,DIM
4096.0,2569.0,1331.0,874.0,3240.0,5902.0,10133.0,DIM
4133.0,2570.0,1290.0,860.0,3234.0,5958.0,10139.0,DIM
4227.0,2573.0,1289.0,949.0,3179.0,6043.0,10630.0,DIM
4216.0,2568.0,1213.0,879.0,3213.0,6053.0,10713.0,DIM
4105.0,2558.0,1381.0,897.0,3318.0,5809.0,9172.0,DIM
4177.0,2563.0,1402.0,862.0,3370.0,5915.0,9219.0,DIM
4271.0,2565.0,1489.0,892.0,3214.0,5999.0,9177.0,DIM
4271.0,2562.0,1421.0,858.0,3197.0,6023.0,9172.0,DIM
4227.0,2566.0,1526.0,905.0,3218.0,5974.0,9149.0,DIM
4273.0,2565.0,1486.0,872.0,3233.0,6050.0,9182.0,DIM
4337.0,2568.0,1430.0,907.0,3235.0,6092.0,9419.0,DIM
4332.0,2564.0,1383.0,859.0,3274.0,6110.0,9548.0,DIM
4280.0,2575.0,1544.0,890.0,3834.0,6066.0,9114.0,DIM
4315.0,2571.0,1450.0,862.0,3372.0,6107.0,9129.0,DIM
4381.0,2572.0,1449.0,875.0,3467.0,6149.0,9507.0,DIM
4378.0,2571.0,1353.0,864.0,3494.0,6174.0,9542.0,DIM
4299.0,2574.0,1493.0,916.0,3263.0,6074.0,9143.0,DIM
4341.0,2575.0,1409.0,861.0,3264.0,6129.0,9036.0,DIM
4413.0,2583.0,1452.0,920.0,3407.0,6192.0,8995.0,DIM
4399.0,2580.0,1358.0,856.0,3393.0,6204.0,9001.0,DIM
4251.0,2572.0,1434.0,879.0,3210.0,6005.0,9030.0,DIM
4284.0,2571.0,1417.0,858.0,3246.0,6054.0,9001.0,DIM
4367.0,2579.0,1501.0,904.0,3122.0,6123.0,8877.0,DIM
4359.0,2574.0,1393.0,854.0,3164.0,6134.0,8901.0,DIM
8112.0,2816.0,2587.0,1491.0,7116.0,15404.0,12331.0,DIM
8149.0,2810.0,2453.0,1470.0,6877.0,15402.0,12345.0,DIM
8100.0,2785.0,2420.0,1520.0,6729.0,15239.0,12200.0,DIM
8090.0,2781.0,2349.0,1482.0,6806.0,15240.0,12259.0,DIM
7838.0,2747.0,2277.0,1377.0,6687.0,14669.0,12136.0,DIM
7917.0,2743.0,2192.0,1392.0,6396.0,14709.0,12099.0,DIM
7851.0,2721.0,2261.0,1433.0,6522.0,14543.0,12004.0,DIM
7810.0,2711.0,2123.0,1386.0,6491.0,14530.0,11996.0,DIM
4424.0,2564.0,1416.0,975.0,3918.0,8712.0,12491.0,DIM
4462.0,2562.0,1348.0,875.0,3874.0,8788.0,12525.0,DIM
4484.0,2558.0,1336.0,938.0,3801.0,8735.0,12483.0,DIM
4465.0,2553.0,1240.0,905.0,3559.0,8738.0,12486.0,DIM
4416.0,2566.0,1385.0,1008.0,4418.0,8630.0,12412.0,DIM
4415.0,2554.0,1284.0,905.0,3475.0,8659.0,12448.0,DIM
4450.0,2549.0,1315.0,924.0,3271.0,8619.0,13263.0,DIM
4430.0,2545.0,1254.0,882.0,3307.0,8637.0,13189.0,DIM
4405.0,2558.0,1376.0,997.0,3243.0,8576.0,12530.0,DIM
4442.0,2561.0,1370.0,911.0,3194.0,8650.0,12473.0,DIM
4440.0,2556.0,1295.0,926.0,3126.0,8492.0,12435.0,DIM
4418.0,2552.0,1236.0,878.0,3114.0,8556.0,12423.0,DIM
4290.0,2557.0,1404.0,931.0,2660.0,8414.0,12390.0,DIM
4316.0,2554.0,1279.0,858.0,2700.0,8472.0,12387.0,DIM
4357.0,2560.0,1336.0,927.0,3574.0,8485.0,12369.0,DIM
4345.0,2556.0,1241.0,843.0,3855.0,8503.0,12369.0,DIM
4265.0,2556.0,1352.0,871.0,2328.0,8212.0,12264.0,DIM
4295.0,2553.0,1301.0,860.0,2472.0,8176.0,12288.0,DIM
4389.0,2558.0,1339.0,895.0,3368.0,8017.0,12247.0,DIM
4382.0,2558.0,1240.0,845.0,3291.0,7963.0,12267.0,DIM
4323.0,2561.0,1375.0,932.0,3564.0,7521.0,12186.0,DIM
4348.0,2559.0,1293.0,882.0,3345.0,7677.0,12201.0,DIM
4455.0,2571.0,1377.0,912.0,3541.0,7800.0,12082.0,DIM
4438.0,2566.0,1275.0,885.0,3386.0,7807.0,12134.0,DIM
4409.0,2571.0,1404.0,922.0,3410.0,7669.0,12109.0,DIM
4436.0,2569.0,1348.0,869.0,3385.0,7722.0,12110.0,DIM
4479.0,2571.0,1353.0,913.0,3657.0,7728.0,12086.0,DIM
4456.0,2567.0,1303.0,902.0,3630.0,7741.0,12103.0,DIM
4365.0,2569.0,1391.0,943.0,3509.0,7594.0,12035.0,DIM
4385.0,2568.0,1326.0,867.0,3560.0,7643.0,12055.0,DIM
4450.0,2571.0,1330.0,899.0,3631.0,7638.0,12027.0,DIM
4432.0,2570.0,1265.0,880.0,3654.0,7646.0,12040.0,DIM
4305.0,2566.0,1363.0,909.0,3624.0,7427.0,11993.0,DIM
4352.0,2566.0,1311.0,883.0,3631.0,7474.0,11988.0,DIM
4378.0,2560.0,1340.0,943.0,3670.0,7405.0,13169.0,DIM
4364.0,2559.0,1244.0,872.0,3672.0,7405.0,13342.0,DIM
4327.0,2566.0,1421.0,931.0,3645.0,7162.0,13409.0,DIM
4366.0,2566.0,1406.0,878.0,3666.0,7209.0,13280.0,DIM
4399.0,2568.0,1324.0,911.0,3802.0,7086.0,13183.0,DIM
4378.0,2563.0,1261.0,862.0,3837.0,7072.0,13221.0,DIM
4407.0,2591.0,1772.0,945.0,3186.0,6258.0,8145.0,DIM
4540.0,2596.0,1698.0,893.0,3168.0,6451.0,8152.0,DIM
4482.0,2581.0,1544.0,926.0,3195.0,6252.0,8136.0,DIM
4458.0,2575.0,1415.0,865.0,3153.0,6235.0,8063.0,DIM
6800.0,2596.0,2082.0,1246.0,5349.0,12751.0,12680.0,DIM
6809.0,2590.0,1965.0,1225.0,5457.0,12751.0,12801.0,DIM
6856.0,2598.0,2073.0,1227.0,5423.0,13042.0,13032.0,DIM
6820.0,2591.0,1974.0,1189.0,5477.0,13069.0,12231.0,DIM
4796.0,2844.0,2216.0,1603.0,4092.0,11197.0,12967.0,DIM
4799.0,2792.0,2150.0,1590.0,4101.0,11263.0,12989.0,DIM
4816.0,2787.0,2063.0,1681.0,3987.0,11163.0,12962.0,DIM
4797.0,2781.0,2042.0,1664.0,4075.0,11339.0,12971.0,DIM
4691.0,2816.0,2057.0,1676.0,4094.0,11239.0,12709.0,DIM
4712.0,2821.0,2029.0,1668.0,4096.0,11246.0,12848.0,DIM
4776.0,2831.0,2239.0,1500.0,3738.0,11349.0,12916.0,DIM
4765.0,2793.0,2080.0,1431.0,3880.0,11429.0,12914.0,DIM
4678.0,2796.0,2016.0,1156.0,3861.0,11135.0,12806.0,DIM
4702.0,2808.0,1981.0,1129.0,3874.0,11230.0,12850.0,DIM
4784.0,2813.0,2118.0,1255.0,3987.0,11184.0,12859.0,DIM
4778.0,2824.0,2026.0,1109.0,4012.0,11254.0,12891.0,DIM
4678.0,2771.0,2099.0,1152.0,3732.0,11157.0,12869.0,DIM
4706.0,2779.0,1998.0,1073.0,3761.0,11164.0,12905.0,DIM
4800.0,2798.0,2233.0,1167.0,3742.0,11195.0,12906.0,DIM
4801.0,2797.0,2096.0,1102.0,3760.0,11268.0,12909.0,DIM
4592.0,2642.0,1999.0,1182.0,3763.0,11370.0,12917.0,DIM
4623.0,2637.0,1895.0,1022.0,3752.0,11388.0,12915.0,DIM
4709.0,2632.0,2022.0,1076.0,3769.0,11454.0,12909.0,DIM
4700.0,2633.0,1846.0,1036.0,3805.0,11487.0,12917.0,DIM
4552.0,2612.0,1977.0,1145.0,3685.0,11449.0,12916.0,DIM
4579.0,2609.0,1874.0,1037.0,3709.0,11479.0,12893.0,DIM
4637.0,2607.0,1799.0,1095.0,3391.0,11457.0,12860.0,DIM
4645.0,2607.0,1712.0,983.0,3461.0,11484.0,12893.0,DIM
4482.0,2594.0,1875.0,944.0,3371.0,11159.0,12779.0,DIM
4539.0,2593.0,1826.0,924.0,3389.0,11259.0,12809.0,DIM
4652.0,2594.0,1927.0,1013.0,3386.0,11307.0,12771.0,DIM
4665.0,2592.0,1821.0,953.0,3422.0,11390.0,12783.0,DIM
4714.0,2588.0,1834.0,1026.0,3435.0,11538.0,12760.0,DIM
4751.0,2585.0,1754.0,969.0,3428.0,11438.0,12762.0,DIM
4821.0,2586.0,1976.0,999.0,3392.0,11349.0,12753.0,DIM
4832.0,2582.0,1752.0,957.0,3450.0,11462.0,12761.0,DIM
4766.0,2575.0,1797.0,1089.0,3438.0,11375.0,12714.0,DIM
4792.0,2575.0,1758.0,988.0,3426.0,11313.0,12734.0,DIM
4777.0,2571.0,1704.0,1035.0,3174.0,11316.0,12707.0,DIM
4759.0,2569.0,1599.0,938.0,3232.0,11559.0,12693.0,DIM
4562.0,2570.0,1765.0,1037.0,3265.0,11390.0,12627.0,DIM
4598.0,2570.0,1700.0,963.0,3233.0,11501.0,12641.0,DIM
4651.0,2572.0,1755.0,1030.0,3307.0,11179.0,12647.0,DIM
4653.0,2570.0,1702.0,971.0,3313.0,11217.0,12644.0,DIM
4573.0,2571.0,1753.0,1026.0,3251.0,10982.0,12641.0,DIM
4596.0,2572.0,1663.0,936.0,3253.0,11155.0,12648.0,DIM
4655.0,2570.0,1739.0,1011.0,3374.0,11083.0,12652.0,DIM
4642.0,2568.0,1670.0,929.0,3357.0,11026.0,12657.0,DIM
4487.0,2564.0,1685.0,1001.0,3397.0,11215.0,12649.0,DIM
4526.0,2564.0,1597.0,945.0,3394.0,11131.0,12662.0,DIM
4575.0,2565.0,1585.0,1087.0,3475.0,11060.0,12670.0,DIM
4577.0,2561.0,1512.0,922.0,3454.0,11120.0,12662.0,DIM
4511.0,2562.0,1591.0,935.0,3529.0,11012.0,12633.0,DIM
4537.0,2564.0,1551.0,914.0,3513.0,11032.0,12634.0,DIM
4610.0,2563.0,1561.0,1002.0,3063.0,11086.0,12626.0,DIM
4599.0,2561.0,1490.0,904.0,3053.0,11085.0,12620.0,DIM
4165.0,2535.0,1401.0,965.0,3779.0,10078.0,12417.0,DIM
4203.0,2534.0,1336.0,882.0,3970.0,10151.0,12433.0,DIM
4303.0,2538.0,1347.0,987.0,3697.0,10189.0,12456.0,DIM
4303.0,2537.0,1292.0,886.0,3950.0,10197.0,12488.0,DIM
7225.0,2638.0,2097.0,1325.0,6077.0,13350.0,12034.0,DIM
7258.0,2634.0,1935.0,1293.0,6153.0,13343.0,12009.0,DIM
7260.0,2632.0,2039.0,1301.0,5917.0,13260.0,12050.0,DIM
7243.0,2627.0,1947.0,1271.0,6271.0,13267.0,12056.0,DIM
5634.0,2491.0,1779.0,1066.0,4525.0,7126.0,12760.0,KAN
5675.0,2489.0,1692.0,1020.0,4735.0,7197.0,12759.0,KAN
5670.0,2488.0,1672.0,986.0,4579.0,7151.0,12783.0,KAN
5661.0,2486.0,1541.0,957.0,4663.0,7164.0,12811.0,KAN
5872.0,2520.0,1792.0,1093.0,6135.0,8342.0,12549.0,KAN
5937.0,2523.0,1640.0,1071.0,6307.0,8420.0,12588.0,KAN
5995.0,2529.0,1738.0,1069.0,6241.0,8398.0,12558.0,KAN
5995.0,2518.0,1697.0,1063.0,6225.0,8344.0,12572.0,KAN
5814.0,2516.0,1751.0,1130.0,5194.0,8004.0,12647.0,KAN
5854.0,2519.0,1645.0,1098.0,5469.0,8063.0,12654.0,KAN
5902.0,2520.0,1770.0,1053.0,5273.0,8012.0,12616.0,KAN
5942.0,2520.0,1692.0,1048.0,5323.0,8016.0,12650.0,KAN
4636.0,2611.0,1812.0,941.0,3199.0,6510.0,8187.0,KAN
4681.0,2605.0,1680.0,884.0,3162.0,6582.0,8217.0,KAN
4589.0,2583.0,1572.0,891.0,3139.0,6377.0,8152.0,KAN
4557.0,2576.0,1522.0,858.0,3136.0,6355.0,8168.0,KAN
5659.0,2494.0,1793.0,1043.0,4701.0,7131.0,12846.0,KAN
5676.0,2491.0,1634.0,977.0,4708.0,7164.0,12840.0,KAN
5694.0,2493.0,1689.0,959.0,4347.0,7157.0,12783.0,KAN
5684.0,2494.0,1557.0,963.0,4535.0,7164.0,12821.0,KAN
5623.0,2512.0,1804.0,933.0,3970.0,7276.0,12856.0,NWE
5638.0,2509.0,1742.0,940.0,3995.0,7348.0,12732.0,NWE
5657.0,2507.0,1762.0,1007.0,3692.0,7301.0,12639.0,NWE
5635.0,2500.0,1698.0,972.0,4745.0,7292.0,12610.0,NWE
5652.0,2493.0,1727.0,1001.0,4486.0,7074.0,12738.0,NWE
5686.0,2495.0,1649.0,977.0,4508.0,7131.0,12780.0,NWE
5651.0,2490.0,1750.0,969.0,4045.0,7061.0,12794.0,NWE
5647.0,2491.0,1561.0,953.0,4358.0,7082.0,12773.0,NWE
4489.0,2621.0,1946.0,941.0,3115.0,6358.0,8103.0,NWE
4651.0,2620.0,1804.0,915.0,3143.0,6573.0,8116.0,NWE
4466.0,2587.0,1586.0,936.0,3192.0,6186.0,8137.0,NWE
4428.0,2583.0,1446.0,870.0,3179.0,6155.0,8161.0,NWE
5647.0,2496.0,1809.0,979.0,4575.0,7093.0,12790.0,NWE
5670.0,2495.0,1658.0,970.0,4500.0,7135.0,12771.0,NWE
5658.0,2488.0,1720.0,985.0,4140.0,7083.0,12723.0,NWE
5648.0,2485.0,1604.0,968.0,4423.0,7092.0,12743.0,NWE
5685.0,2512.0,1805.0,987.0,4281.0,7167.0,12745.0,NWE
5693.0,2507.0,1692.0,978.0,4279.0,7155.0,12755.0,NWE
5645.0,2498.0,1723.0,984.0,4238.0,7056.0,12723.0,NWE
5619.0,2495.0,1601.0,975.0,4285.0,7053.0,12728.0,NWE
5671.0,2504.0,1739.0,1014.0,4362.0,7123.0,12762.0,NWE
5741.0,2510.0,1675.0,1016.0,4458.0,7221.0,12756.0,NWE
5647.0,2498.0,1746.0,983.0,4095.0,7081.0,12753.0,NWE
5617.0,2491.0,1609.0,969.0,4274.0,7065.0,12776.0,NWE
5418.0,2492.0,1644.0,934.0,4031.0,6664.0,12635.0,RUN
5562.0,2495.0,1518.0,963.0,3817.0,6797.0,12634.0,RUN
5674.0,2503.0,1699.0,1002.0,3690.0,6901.0,12666.0,RUN
5669.0,2499.0,1601.0,972.0,3741.0,6939.0,12626.0,RUN
5680.0,2503.0,1542.0,967.0,3529.0,6945.0,12645.0,RUN
5651.0,2498.0,1472.0,945.0,3424.0,6879.0,12665.0,RUN
5642.0,2501.0,1674.0,974.0,3444.0,6892.0,12663.0,RUN
5611.0,2495.0,1555.0,958.0,3317.0,6889.0,12631.0,RUN
5516.0,2490.0,1584.0,938.0,3852.0,6768.0,12617.0,RUN
5538.0,2488.0,1484.0,938.0,3930.0,6756.0,12684.0,RUN
5562.0,2494.0,1659.0,974.0,3156.0,6789.0,12661.0,RUN
5780.0,2524.0,1735.0,1058.0,4282.0,7148.0,12530.0,RUN
5771.0,2517.0,1570.0,998.0,4246.0,7139.0,12553.0,RUN
5737.0,2517.0,1707.0,1009.0,3994.0,7085.0,12588.0,RUN
5726.0,2511.0,1574.0,980.0,4062.0,7073.0,12599.0,RUN
5696.0,2504.0,1578.0,941.0,3871.0,6984.0,12581.0,RUN
5688.0,2497.0,1444.0,933.0,3858.0,6938.0,12577.0,RUN
5668.0,2499.0,1614.0,1000.0,3740.0,6925.0,12587.0,RUN
5655.0,2497.0,1500.0,968.0,3821.0,6932.0,12579.0,RUN
5770.0,2525.0,1598.0,973.0,3712.0,7100.0,12425.0,RUN
5760.0,2510.0,1445.0,960.0,3635.0,7045.0,12440.0,RUN
5749.0,2509.0,1688.0,966.0,3991.0,7041.0,12467.0,RUN
5743.0,2502.0,1519.0,948.0,3919.0,7058.0,12475.0,RUN
5717.0,2500.0,1593.0,925.0,3882.0,7012.0,12505.0,RUN
5720.0,2498.0,1454.0,916.0,3922.0,6971.0,12487.0,RUN
5697.0,2500.0,1639.0,967.0,3505.0,6946.0,12457.0,RUN
5676.0,2496.0,1508.0,940.0,3470.0,6956.0,12490.0,RUN
6145.0,2545.0,1868.0,1063.0,5324.0,9083.0,12546.0,RUN
6173.0,2547.0,1746.0,1046.0,5242.0,9150.0,12591.0,RUN
6160.0,2543.0,1827.0,1095.0,5031.0,9018.0,12523.0,RUN
6121.0,2533.0,1650.0,1073.0,5137.0,8984.0,12496.0,RUN
4735.0,2609.0,2103.0,1027.0,3186.0,6772.0,8138.0,RUN
4995.0,2618.0,2155.0,929.0,3151.0,7085.0,8164.0,RUN
4717.0,2548.0,1745.0,932.0,3215.0,6602.0,8086.0,RUN
4674.0,2538.0,1650.0,841.0,3178.0,6551.0,8106.0,RUN
4292.0,2533.0,1468.0,992.0,2442.0,8212.0,11749.0,RUN
4356.0,2530.0,1423.0,922.0,2464.0,8318.0,11748.0,RUN
4386.0,2525.0,1292.0,952.0,2194.0,8244.0,11744.0,RUN
4378.0,2519.0,1235.0,917.0,2179.0,8260.0,11742.0,RUN
4357.0,2527.0,1376.0,903.0,2370.0,8287.0,11742.0,RUN
4389.0,2525.0,1312.0,862.0,2340.0,8328.0,11758.0,RUN
4449.0,2522.0,1296.0,974.0,2018.0,8303.0,11733.0,RUN
4447.0,2520.0,1246.0,884.0,2128.0,8319.0,11732.0,RUN
4455.0,2529.0,1464.0,1048.0,2388.0,8339.0,11743.0,RUN
4500.0,2527.0,1346.0,926.0,2389.0,8410.0,11767.0,RUN
4532.0,2526.0,1380.0,950.0,2164.0,8379.0,11747.0,RUN
4524.0,2524.0,1292.0,874.0,2247.0,8403.0,11763.0,RUN
4589.0,2546.0,1647.0,949.0,2341.0,8573.0,11748.0,RUN
4646.0,2545.0,1518.0,913.0,2326.0,8687.0,11760.0,RUN
4632.0,2536.0,1282.0,934.0,2388.0,8590.0,11759.0,RUN
4625.0,2534.0,1233.0,892.0,2380.0,8604.0,11766.0,RUN
5106.0,2606.0,1660.0,1071.0,4035.0,9831.0,12857.0,RUN
5139.0,2599.0,1554.0,1036.0,4075.0,9970.0,12894.0,RUN
5057.0,2582.0,1434.0,1027.0,4063.0,9677.0,12850.0,RUN
5028.0,2578.0,1381.0,992.0,4115.0,9698.0,12879.0,RUN
5236.0,2587.0,1576.0,1052.0,3422.0,9621.0,12832.0,RUN
5523.0,2582.0,1497.0,1024.0,3625.0,9626.0,12840.0,RUN
5969.0,2579.0,1426.0,1047.0,4081.0,9511.0,12808.0,RUN
5836.0,2574.0,1361.0,997.0,4040.0,9482.0,12838.0,RUN
5250.0,2586.0,1619.0,1058.0,4206.0,9477.0,12796.0,RUN
5233.0,2576.0,1513.0,964.0,4051.0,9464.0,12783.0,RUN
5248.0,2567.0,1419.0,986.0,4276.0,9283.0,12772.0,RUN
5232.0,2561.0,1352.0,950.0,4008.0,9274.0,12761.0,RUN
5139.0,2597.0,1630.0,1038.0,3985.0,9272.0,12741.0,RUN
5336.0,2595.0,1564.0,838.0,4064.0,9377.0,12727.0,RUN
5131.0,2572.0,1438.0,991.0,4073.0,9188.0,12711.0,RUN
5111.0,2568.0,1355.0,931.0,4463.0,9197.0,12710.0,RUN
5037.0,2573.0,1566.0,994.0,4037.0,9025.0,12633.0,RUN
4774.0,2570.0,1492.0,929.0,4047.0,9092.0,12647.0,RUN
